Sample Name
conti_locker
exeinfector
I-Worm.PieceByPiece
LoexBot1.3_Sep2008
NBot_July2008
Predator_Stealer_B
Projeto-Memz
Prosto_Stealer
TrojanCockroach
trojan_posgrabber
W32.MyDoom.A
Win32.120Bot
Win32.Fungus
Win32.Litmus
Win32.RansomWar
Win32.Treasurehunter
